iter	RMSE
0	507.7002752
1	492.4584671
2	480.7681423
3	467.439685
4	452.4832999
5	438.1437023
6	427.4671653
7	418.813371
8	410.9634329
9	400.8542208
10	394.8543748
11	386.8185612
12	380.481754
13	374.4940636
14	369.5215468
15	365.2128284
16	357.8713126
17	353.072747
18	347.0701284
19	339.4581059
20	334.7384282
21	330.3997095
22	323.6647318
23	319.5311695
24	315.8197566
25	311.1927357
26	307.7737906
27	304.0273002
28	300.0963273
29	297.5710483
30	294.318897
31	291.002102
32	286.3306474
33	283.3292568
34	280.3477701
35	277.4647787
36	274.7391363
37	272.2892549
38	268.7680558
39	266.1069108
40	265.6569363
41	263.8025816
42	259.6933713
43	257.461818
44	255.33397
45	253.292737
46	251.1746264
47	250.257282
48	247.7501405
49	246.7943251
50	243.0758741
51	241.8594293
52	239.7184573
53	237.7376372
54	236.0229731
55	232.0906337
56	230.4987437
57	228.2793082
58	226.9931587
59	225.6347131
60	224.2085167
61	222.8828271
62	221.3532655
63	220.674904
64	219.6426101
65	218.4572479
66	217.6867309
67	216.1158329
68	214.8408595
69	213.7338355
70	212.4214787
71	210.7848665
72	209.6157439
73	206.1693204
74	204.2502127
75	203.4901984
76	201.0101814
77	200.2368669
78	199.418205
79	196.4324584
80	195.5649412
81	194.9725516
82	191.753075
83	189.7522084
84	188.8653563
85	188.0943674
86	187.4766301
87	185.1363464
88	184.6592903
89	182.0433667
90	179.924368
91	179.2645293
92	178.4984281
93	177.8726965
94	177.5705273
95	175.0382718
96	172.8785763
97	172.5468239
98	171.8235358
99	169.7154343
100	167.5531321
101	167.0498861
102	164.9805889
103	164.0972333
104	162.1705931
105	160.3455594
106	158.7723064
107	158.2540999
108	157.5496883
109	156.3697276
110	155.4297695
111	154.1904917
112	153.7205546
113	153.498801
114	152.348918
115	151.2692254
116	150.0498359
117	149.1067221
118	148.1545547
119	147.2644562
120	146.8649246
121	146.4122135
122	145.8888368
123	145.073858
124	144.7556458
125	143.5562041
126	143.1395653
127	143.0100345
128	141.692619
129	140.4793715
130	140.2080909
131	140.1058664
132	139.3941401
133	138.7479876
134	138.6821312
135	138.0755139
136	137.5048198
137	137.279725
138	136.7771146
139	136.2395919
140	135.7967992
141	135.7293865
142	135.4761431
143	134.863659
144	134.5013883
145	134.4221166
146	134.0209557
147	133.8821919
148	133.5169748
149	133.0977161
150	131.2530241
151	130.9145709
152	130.7350237
153	130.5642217
154	129.2437213
155	128.9593385
156	127.7499531
157	127.3800621
158	127.0819881
159	126.2722756
160	125.9726404
161	125.2229944
162	124.6576791
163	123.9002966
164	123.5338656
165	122.8314211
166	122.3454075
167	121.8884297
168	121.3843796
169	121.0146986
170	120.6000589
171	120.265428
172	119.5505805
173	119.2345677
174	118.5592993
175	118.2660243
176	118.1456458
177	117.787118
178	117.6768992
179	117.5744585
180	116.7239262
181	116.4759679
182	116.389974
183	115.7362517
184	115.2048689
185	114.436688
186	114.117425
187	114.0179776
188	113.3076882
189	112.7481226
190	112.0878012
191	111.03217
192	110.8510099
193	110.7840981
194	110.3354201
195	110.2722393
196	109.7491351
197	109.4308063
198	109.3736262
199	109.3198611
200	109.2692888
201	108.8398261
202	108.4334883
203	108.0488265
204	107.9995989
205	107.9532614
206	107.909632
207	107.5505238
208	106.8753803
209	106.7556287
210	106.638752
211	106.6008675
212	106.393299
213	106.357836
214	106.0761612
215	105.7789703
216	105.3301626
217	104.9272848
218	104.8930246
219	104.8608101
220	104.7720254
221	104.6177374
222	104.2212743
223	103.8617789
224	103.8354277
225	103.8113026
226	103.518863
227	103.2672503
228	102.9637477
229	102.6265873
230	102.4781327
231	102.2660809
232	101.7509048
233	101.4502651
234	101.3258989
235	101.1960777
236	100.9941492
237	100.4619084
238	100.0134666
239	99.72332493
240	99.39128205
241	98.81748277
