iter	Passed	Remaining
0	21	21822
1	47	23742
2	65	21720
3	90	22432
4	115	23016
5	141	23377
6	161	22907
7	181	22488
8	199	21943
9	225	22316
10	250	22527
11	272	22415
12	298	22689
13	326	22980
14	343	22538
15	353	21749
16	379	21916
17	392	21399
18	416	21529
19	440	21600
20	465	21717
21	482	21470
22	509	21630
23	535	21779
24	562	21936
25	591	22144
26	606	21844
27	625	21717
28	652	21844
29	683	22100
30	711	22253
31	740	22390
32	772	22632
33	800	22749
34	827	22823
35	860	23053
36	891	23196
37	908	23006
38	935	23051
39	961	23078
40	979	22903
41	996	22728
42	1024	22804
43	1042	22658
44	1055	22406
45	1080	22410
46	1105	22423
47	1144	22693
48	1171	22735
49	1185	22522
50	1209	22506
51	1229	22410
52	1261	22541
53	1307	22898
54	1338	22999
55	1367	23044
56	1392	23039
57	1418	23045
58	1445	23060
59	1462	22915
60	1487	22898
61	1501	22715
62	1526	22708
63	1534	22442
64	1558	22425
65	1581	22385
66	1604	22347
67	1629	22327
68	1654	22319
69	1667	22159
70	1697	22213
71	1724	22232
72	1755	22289
73	1784	22328
74	1811	22338
75	1834	22303
76	1861	22310
77	1884	22275
78	1904	22200
79	1928	22177
80	1940	22021
81	1965	22002
82	1990	21987
83	2014	21965
84	2036	21917
85	2048	21770
86	2072	21754
87	2096	21725
88	2119	21699
89	2143	21676
90	2168	21656
91	2187	21588
92	2211	21567
93	2226	21460
94	2251	21447
95	2274	21413
96	2296	21378
97	2320	21357
98	2343	21329
99	2371	21343
100	2394	21315
101	2418	21289
102	2441	21265
103	2466	21248
104	2490	21224
105	2513	21197
106	2537	21175
107	2561	21157
108	2587	21150
109	2611	21127
110	2636	21112
111	2659	21085
112	2684	21068
113	2708	21051
114	2734	21040
115	2757	21015
116	2782	20999
117	2807	20981
118	2833	20977
119	2866	21021
120	2892	21010
121	2917	20998
122	2941	20974
123	2967	20965
124	2992	20950
125	3018	20937
126	3044	20930
127	3069	20914
128	3096	20908
129	3121	20890
130	3151	20903
131	3178	20900
132	3204	20888
133	3229	20870
134	3256	20865
135	3283	20857
136	3307	20832
137	3331	20808
138	3355	20784
139	3380	20764
140	3404	20740
141	3429	20719
142	3452	20692
143	3477	20670
144	3499	20637
145	3523	20611
146	3547	20585
147	3571	20558
148	3596	20540
149	3623	20535
150	3648	20513
151	3673	20493
152	3697	20470
153	3722	20452
154	3748	20434
155	3774	20423
156	3799	20403
157	3826	20389
158	3851	20374
159	3878	20361
160	3902	20336
161	3927	20318
162	3953	20298
163	3978	20279
164	4005	20268
165	4029	20246
166	4058	20244
167	4083	20224
168	4111	20218
169	4138	20206
170	4162	20180
171	4188	20164
172	4213	20140
173	4238	20122
174	4263	20100
175	4289	20080
176	4312	20052
177	4337	20030
178	4362	20007
179	4389	19995
180	4413	19970
181	4437	19944
182	4457	19901
183	4481	19875
184	4506	19853
185	4530	19826
186	4554	19800
187	4576	19767
188	4599	19738
189	4623	19709
190	4646	19680
191	4670	19655
